number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
107,0.0001920363980129228,2026-03-12 16:44:38.733418,2026-03-12 16:44:45.154825,0 days 00:00:06.421407,64,0.46804997100324686,2,128,0.0006690164688804832,4,1,2,0.00010092959805184264,COMPLETE
108,0.0005181786837056279,2026-03-12 16:44:45.223830,2026-03-12 16:44:46.824758,0 days 00:00:01.600928,128,0.3948261288875622,3,128,0.00013738294678127954,4,1,2,1.1787549922260092e-05,PRUNED
109,0.0001723523710097652,2026-03-12 16:44:46.900761,2026-03-12 16:44:52.379481,0 days 00:00:05.478720,128,0.3803735665018108,2,128,0.0027388487610710546,4,1,2,2.586254330469228e-05,COMPLETE
110,0.0002502966999600176,2026-03-12 16:44:52.450474,2026-03-12 16:44:54.086621,0 days 00:00:01.636147,128,0.3790955756542617,2,64,0.002802668635686265,4,1,1,3.4068962864347396e-05,PRUNED
111,0.00016734894234105013,2026-03-12 16:44:54.156621,2026-03-12 16:44:59.499844,0 days 00:00:05.343223,128,0.40810640767923295,2,128,0.003475755855548101,4,1,2,2.4163104753475604e-05,COMPLETE
112,0.0002168577520933468,2026-03-12 16:44:59.568844,2026-03-12 16:45:01.163182,0 days 00:00:01.594338,128,0.408607635229369,2,128,0.004323088782934853,4,1,2,2.482776418463624e-05,PRUNED
113,0.0003357095629326068,2026-03-12 16:45:01.234337,2026-03-12 16:45:02.739579,0 days 00:00:01.505242,128,0.429015201890973,2,128,0.003054391423581451,4,1,2,4.508558272048419e-05,PRUNED
114,0.0002265355724375695,2026-03-12 16:45:02.808583,2026-03-12 16:45:04.320601,0 days 00:00:01.512018,128,0.39771603248081905,2,128,0.002259468162581043,4,1,2,1.767573315439869e-05,PRUNED
115,0.0004495938919717446,2026-03-12 16:45:04.399446,2026-03-12 16:45:05.952134,0 days 00:00:01.552688,128,0.4170559089805683,2,128,0.0026376014072657028,4,1,2,2.0434835748707718e-05,PRUNED
116,0.00034321531607669646,2026-03-12 16:45:06.023273,2026-03-12 16:45:11.583044,0 days 00:00:05.559771,32,0.38774598877532646,2,32,0.0045659067064647355,4,1,2,2.6434968761395774e-05,PRUNED
